map                   	INEX_XER-86	0.0002
map                   	INEX_XER-87	0.1865
map                   	INEX_XER-88	0.0705
map                   	INEX_XER-91	0.8305
map                   	INEX_XER-94	0.2340
map                   	INEX_XER-95	0.1199
map                   	INEX_XER-96	0.0455
map                   	INEX_XER-97	0.0524
map                   	INEX_XER-98	0.0409
map                   	INEX_XER-99	0.4401
map                   	QALD2_te-1	0.0012
map                   	QALD2_te-100	0.4648
map                   	QALD2_te-11	0.0029
map                   	QALD2_te-12	0.0013
map                   	QALD2_te-13	0.1760
map                   	QALD2_te-14	0.0116
map                   	QALD2_te-15	0.0710
map                   	QALD2_te-17	0.0008
map                   	QALD2_te-19	0.0022
map                   	QALD2_te-2	0.0000
map                   	QALD2_te-21	0.0000
map                   	QALD2_te-22	0.0960
map                   	QALD2_te-24	0.0073
map                   	QALD2_te-25	0.0022
map                   	QALD2_te-27	0.7556
map                   	QALD2_te-28	0.3268
map                   	QALD2_te-29	0.1163
map                   	QALD2_te-3	0.1408
map                   	QALD2_te-31	0.0257
map                   	QALD2_te-33	0.0031
map                   	QALD2_te-34	0.0543
map                   	QALD2_te-35	0.1243
map                   	QALD2_te-39	0.0000
map                   	QALD2_te-40	0.2168
map                   	QALD2_te-41	0.0060
map                   	QALD2_te-42	0.0161
map                   	QALD2_te-43	0.3316
map                   	QALD2_te-44	0.1611
map                   	QALD2_te-45	0.0714
map                   	QALD2_te-46	0.0333
map                   	QALD2_te-48	0.0000
map                   	QALD2_te-49	0.1278
map                   	QALD2_te-5	0.1224
map                   	QALD2_te-51	0.3508
map                   	QALD2_te-53	0.0000
map                   	QALD2_te-55	0.4742
map                   	QALD2_te-57	0.2012
map                   	QALD2_te-58	0.0037
map                   	QALD2_te-59	0.0000
map                   	QALD2_te-6	0.0905
map                   	QALD2_te-60	0.0009
map                   	QALD2_te-63	0.0013
map                   	QALD2_te-64	0.1699
map                   	QALD2_te-65	0.0857
map                   	QALD2_te-66	0.0394
map                   	QALD2_te-67	0.0192
map                   	QALD2_te-72	0.0000
map                   	QALD2_te-75	0.0072
map                   	QALD2_te-76	0.6369
map                   	QALD2_te-77	0.0652
map                   	QALD2_te-8	0.1833
map                   	QALD2_te-80	0.1811
map                   	QALD2_te-81	0.4687
map                   	QALD2_te-82	0.0002
map                   	QALD2_te-84	0.0088
map                   	QALD2_te-86	0.0032
map                   	QALD2_te-87	0.1667
map                   	QALD2_te-88	0.4691
map                   	QALD2_te-89	0.1250
map                   	QALD2_te-9	0.1744
map                   	QALD2_te-90	0.2917
map                   	QALD2_te-91	0.0051
map                   	QALD2_te-92	0.0728
map                   	QALD2_te-93	0.4479
map                   	QALD2_te-95	0.0139
map                   	QALD2_te-97	0.3174
map                   	QALD2_te-98	0.3846
map                   	QALD2_te-99	0.0037
map                   	QALD2_tr-1	0.2546
map                   	QALD2_tr-10	0.0000
map                   	QALD2_tr-11	0.0228
map                   	QALD2_tr-13	1.0000
map                   	QALD2_tr-15	0.0751
map                   	QALD2_tr-16	0.0000
map                   	QALD2_tr-17	0.0085
map                   	QALD2_tr-18	0.0000
map                   	QALD2_tr-21	0.1133
map                   	QALD2_tr-22	0.1400
map                   	QALD2_tr-23	0.1336
map                   	QALD2_tr-24	0.1886
map                   	QALD2_tr-25	0.6568
map                   	QALD2_tr-26	0.0029
map                   	QALD2_tr-28	0.0295
map                   	QALD2_tr-29	0.1487
map                   	QALD2_tr-3	0.0000
map                   	QALD2_tr-30	0.0182
map                   	QALD2_tr-31	0.2021
map                   	QALD2_tr-32	0.2585
map                   	QALD2_tr-34	0.0246
map                   	QALD2_tr-35	0.0000
map                   	QALD2_tr-36	0.1707
map                   	QALD2_tr-38	0.0022
map                   	QALD2_tr-4	0.0799
